Degrees,Count,PDF,CCDF
1 - 3,45,0.045,1.0
3 - 4,62,0.062,0.9550000000000001
4 - 5,88,0.088,0.893
5 - 6,124,0.124,0.805
6 - 7,145,0.145,0.681
7 - 8,140,0.14,0.536
8 - 9,124,0.124,0.396
9 - 10,97,0.097,0.272
10 - 11,71,0.071,0.175
11 - 12,49,0.049,0.10400000000000001
12 - 13,23,0.023,0.055
13 - 17,32,0.032,0.032
