Degrees,Count,PDF,CCDF
3 - 4,199,0.199,1.0
4 - 5,234,0.234,0.8009999999999999
5 - 6,203,0.203,0.567
6 - 7,174,0.174,0.364
7 - 8,105,0.105,0.19
8 - 9,49,0.049,0.08499999999999999
9 - 13,36,0.036,0.036
