Degrees,Count,PDF,CCDF
1 - 2,1744,0.48203,1.00001
2 - 3,476,0.13156,0.5179800000000001
3 - 4,292,0.08071,0.38642000000000004
4 - 5,191,0.05279,0.30571000000000004
5 - 6,134,0.03704,0.25292000000000003
6 - 7,89,0.0246,0.21588000000000002
7 - 9,98,0.02709,0.19128
9 - 12,123,0.034,0.16419
12 - 16,101,0.02792,0.13019
16 - 23,122,0.03372,0.10227
23 - 44,123,0.034,0.06855
44 - 250,125,0.03455,0.03455
